res_id,rtr_pic_loc
"(17,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_139%2F1441045334267t07fx_JPEG%2F157071575560022_1.jpeg
"(18,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181013_280%2F1539433818059g5wDG_JPEG%2FGlEyoailBdt5QGVgFKgnG1Ud.jpeg.jpg
"(18,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180607_97%2F1528320763437ipcIo_JPEG%2FpR9SiAfInnea3x30QbjGgkcL.jpg
"(18,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191030_155%2F1572363924443BgOTj_JPEG%2FOl82QjywlPUdcQDd_eNuxDvl.jpg
"(18,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191030_78%2F1572363924483lpyie_JPEG%2FcnVdFpDvt25RlapOOb2ya1tP.jpg
"(18,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180607_243%2F1528320762620aKnGU_JPEG%2F4BvxdmZi8K_krCrID3nGSTOw.jpg
"(19,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191203_72%2F15753199594487h9D5_JPEG%2F-Y-MtYQTbSEBPJV1C7kyexhg.jpg
"(19,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201221_241%2F1608490535208AC3VF_JPEG%2F2LdOK7IVIxqiEGbm65APw15L.jpg
"(19,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190212_2%2F1549915006903Qf27I_JPEG%2FKIdXpuN0mv-NvC5U64JH7wgI.jpeg.jpg
"(19,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190610_59%2F1560098902747iNMhB_JPEG%2F0mZBs5_TZRBOlQB8ZBm9Oj84.jpg
"(19,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201221_224%2F1608490535231cCr0C_JPEG%2F4MRLVy_z8HiRdQQ-VxDNH7fh.jpg
"(20,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190724_41%2F1563923430995uMJQ7_JPEG%2Fja4g3pCXfk55My_nwb2xI_5-.jpg
"(20,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190724_75%2F1563923545143vsf0j_JPEG%2FgfME7yLvqq54nn94ANn67CfP.jpg
"(20,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190724_36%2F1563923550563ch6oW_JPEG%2Fu7xtp_d2vrWEsB4a7Y6hFUq1.jpg
"(20,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200320_34%2F158467254581619NUH_JPEG%2FtNJ3HKBOhNLqhFVk2D-gQl9S.jpg
"(20,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200320_6%2F1584672545811GL6nb_JPEG%2FpzHrfXui0B-1l3ys0ssCCh_c.jpg
"(21,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200729_32%2F1596015449393HRMWC_PNG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25C0%25BD.png
"(21,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201127_99%2F16064576518373bafK_JPEG%2FJsRcXzOH4lXYAoa3btyNTHCZ.jpg
"(21,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201127_151%2F1606457652004TdXj6_JPEG%2FRpAXu4vlgbd062NelfBd4SHs.jpg
"(21,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201127_204%2F1606457651971B6gNA_JPEG%2FPny4NtXrzRfNEfAXl4B65Noz.jpg
"(21,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEyMTNfMjIz%2FMDAxNjA3ODM5Njc3MDEy._xu7qJlQGJpzAxQdYoK3oCaboVggC61Eno7Ojiq2LXYg.1nXd2gkvTwO1hiLeMfxxlty-HDmtjAOFSXLZQvlULsIg.JPEG.phk4330%2FDSC01206.
"(22,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180321_209%2F1521643063355i0WDo_JPEG%2FnSPyQqcDk9fMhMvs-nEBSjYn.jpg
"(22,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180321_88%2F1521643072244KjjgQ_JPEG%2F25dAgE2072pJ3IV9fjH1DOa3.jpg
"(22,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180321_184%2F1521643077980ENQvl_JPEG%2FoKJ_F7W9Px-aAoLBBvspqD31.jpg
